street;street_type;lat;lon;named_after_person;annotation
улица Сибревкома;жилая улица;55.0207973;82.9328567;False;улица Сибревкома — обычный городской топоним.
Каинская улица;жилая улица;55.0188485;82.9255683;False;Каинская улица — обычный городской топоним.
Октябрьская улица;жилая улица;55.0241194;82.9150912;False;Октябрьская улица — обычный городской топоним.
улица Революции;жилая улица;55.0295927;82.9087794;False;улица Революции — обычный городской топоним.
Депутатская улица;жилая улица;55.0282244;82.9111121;False;Депутатская улица — обычный городской топоним.
улица Щетинкина;жилая улица;55.0271664;82.9100448;False;улица Щетинкина — обычный городской топоним.
Сибирская улица;жилая улица;55.0344566;82.9027939;False;Сибирская улица — обычный городской топоним.
улица 1905 года;жилая улица;55.0445577;82.9092211;False;улица 1905 года — обычный городской топоним.
Железнодорожная улица;ул. общегородского значения;55.0476053;82.9089314;False;Железнодорожная улица — обычный городской топоним.
улица Дмитрия Шамшурина;ул. районного значения;55.0410129;82.8936025;False;улица Дмитрия Шамшурина — обычный городской топоним.
площадь Гарина-Михайловского;проезд;55.0351453;82.8993555;False;площадь Гарина-Михайловского — обычный городской топоним.
улица Движенцев;жилая улица;55.0398151;82.892245;False;улица Движенцев — обычный городской топоним.
Красноярская улица;пешеходная дорожка;55.0409832;82.9005218;False;Красноярская улица — обычный городской топоним.
Комсомольский проспект;жилая улица;55.0319803;82.9042254;False;Комсомольский проспект — обычный городской топоним.
Брестская улица;жилая улица;55.0521359;82.926739;False;Брестская улица — обычный городской топоним.
улица Бурденко;ул. районного значения;54.9664358;82.9333218;False;улица Бурденко — обычный городской топоним.
Красный проспект;ул. общегородского значения;55.0639628;82.9116208;False;Красный проспект — обычный городской топоним.
улица Федосеева;ул. районного значения;55.0358809;82.973166;False;улица Федосеева — обычный городской топоним.
Каменская улица;ул. районного значения;55.0240356;82.929624;False;Каменская улица — обычный городской топоним.
Ядринцевская улица;жилая улица;55.0337064;82.9296485;False;Ядринцевская улица — обычный городской топоним.
Гурьевская улица;ул. районного значения;55.021149;82.9613202;False;Гурьевская улица — обычный городской топоним.
