street;street_type;lat;lon
Каинская улица;жилая улица;55.0188485;82.9255683
улица Революции;жилая улица;55.0295927;82.9087794
Депутатская улица;жилая улица;55.0282244;82.9111121
улица Щетинкина;жилая улица;55.0271664;82.9100448
Сибирская улица;жилая улица;55.0344566;82.9027939
Железнодорожная улица;ул. общегородского значения;55.0476053;82.9089314
улица Дмитрия Шамшурина;ул. районного значения;55.0410129;82.8936025
улица Движенцев;жилая улица;55.0398151;82.892245
Брестская улица;жилая улица;55.0521359;82.926739
улица Бурденко;ул. районного значения;54.9664358;82.9333218
улица Федосеева;ул. районного значения;55.0358809;82.973166
Каменская улица;ул. районного значения;55.0240356;82.929624
Ядринцевская улица;жилая улица;55.0337064;82.9296485
Гурьевская улица;ул. районного значения;55.021149;82.9613202
улица Карла Либкнехта;жилая улица;55.0184785;82.9703563
улица Короленко;жилая улица;55.0156369;82.9674434
Коммунстроевская улица;жилая улица;55.0231492;82.9811103
улица Грибоедова;жилая улица;55.0168861;82.970376
улица Лескова;жилая улица;55.0210243;82.9532114
улица Панфиловцев;улица;55.0196318;82.9894775
улица Чаплыгина;жилая улица;55.0267346;82.9290036
Ленинградская улица;жилая улица;55.0089732;82.9684591
улица Тургенева;жилая улица;55.0215645;82.9463498
Потанинская улица;жилая улица;55.0335886;82.9173768
Радужная улица;жилая улица;55.1347772;82.8778678
Дунайская улица;ул. районного значения;55.0194621;82.9858193
улица Чехова;жилая улица;55.0093449;82.9731594
Московская улица;жилая улица;55.0064649;82.9718907
улица 3 Интернационала;жилая улица;55.0091834;82.95397
улица Толстого;жилая улица;55.0066541;82.9768079
Автогенная улица;жилая улица;55.0061987;82.9667755
Лазурная улица;улица;55.037025;83.0231235
Волочаевская улица;ул. районного значения;55.036384;83.0188783
улица Пархоменко;ул. районного значения;54.9872582;82.8600879
Тихвинская улица;жилая улица;54.979984;82.8675382
Кривощёковская улица;ул. районного значения;55.0159366;82.9286929
Артиллерийская улица;жилая улица;55.0242467;82.9619307
улица Державина;жилая улица;55.0393208;82.9281357
Коммунистическая улица;жилая улица;55.0230706;82.9166074
Бийская улица;жилая улица;54.9765186;82.8239328
улица Халтурина;жилая улица;54.9878044;82.8236936
улица Филатова;жилая улица;54.9879581;82.827365
Фасадная улица;жилая улица;54.9871962;82.8195003
улица Забалуева;ул. районного значения;54.9900322;82.8211992
Танковая улица;магистраль;55.0638727;82.9351433
Туннельный спуск;ул. районного значения;55.0321643;82.8992068
улица Челюскинцев;ул. общегородского значения;55.0371284;82.8988997
Народная улица;жилая улица;55.063044;82.936055
улица Овчукова;улица;55.0893497;82.9678291
улица Кутателадзе;ул. районного значения;54.8579807;83.0986475
улица Мусы Джалиля;улица;54.8603188;83.0959273
Линейная улица;ул. районного значения;54.986833;82.7081955
Степная улица;жилая улица;54.9890592;82.6696392
Гидромонтажная улица;ул. общегородского значения;54.8602199;82.9778723
улица Молодости;улица;54.8598511;82.9696029
улица Шевченко;ул. районного значения;55.0221458;82.9396084
Инская улица;жилая улица;55.011643;82.9321314
улица Мясниковой;ул. районного значения;55.1039271;82.9551034
улица Кочубея;ул. районного значения;55.1077291;82.9572188
улица Краузе;ул. общегородского значения;55.1163713;82.942609
улица Дмитрия Донского;ул. районного значения;55.0619645;82.8928576
Тайгинская улица;ул. общегородского значения;55.1116729;82.9797564
Снегири;пригород;55.108701;82.9690835
Саратовская улица;улица;55.0372699;82.8834997
улица Стофато;жилая улица;55.0328781;82.9800494
улица Журавлёва;жилая улица;55.0299843;82.9796379
Светлая улица;улица;55.0538766;82.9509818
Планировочная улица;жилая улица;54.9954971;82.8800796
Хитровская улица;ул. общегородского значения;54.9916884;82.9919055
Родниковая улица;жилая улица;54.9852595;83.0113312
Выборная улица;улица;55.0078203;83.0558805
улица Связистов;ул. общегородского значения;54.9616652;82.8415023
Волховская улица;ул. общегородского значения;54.9699614;82.8415138
Оборонная улица;ул. районного значения;54.9749762;82.8424936
Колхидская улица;жилая улица;54.9908868;82.8157828
улица Бородина;ул. общегородского значения;54.9367994;82.86934
улица Петровского;жилая улица;54.9315132;82.8659251
улица Аникина;ул. районного значения;54.9664609;82.9500797
Карьермочищенская улица;улица;55.1257744;82.9172493
Русская улица;магистраль;54.8464373;83.0621359
Владимировский спуск;улица;55.0336476;82.8901724
улица Танкистов;жилая улица;54.9757544;82.831918
Днепрогэсовская улица;ул. районного значения;54.9931441;82.982281
улица Демьяна Бедного;жилая улица;55.0485647;82.9361169
Чернышевский спуск;жилая улица;55.0275151;82.8950013
Софийская улица;ул. общегородского значения;54.8388602;82.9298726
Ветлужская улица;ул. районного значения;54.8544189;82.9718071
Школьная улица;ул. районного значения;54.8174518;82.8509214
улица Вахтангова;жилая улица;54.852149;83.0488338
Закарпатская улица;жилая улица;54.8522037;83.0471685
Иноземная улица;жилая улица;54.8524707;83.0492384
улица Тружеников;жилая улица;54.8461893;83.0426756
Золоторожская улица;жилая улица;54.8503277;83.0487156
улица Гидростроителей;проезд;54.8479764;83.0444397
Тихая улица;улица;54.8479255;83.0624069
Бердский санаторий;улица;54.7939341;83.0464883
Оренбургская улица;жилая улица;55.0377295;82.8816839
Тульская улица;жилая улица;54.9637352;82.8696146
Мотодром РОСТО;улица;54.968652;82.8917406
улица Академика Будкера;улица;54.8521862;83.1144424
улица Петкау;жилая улица;55.093987;82.7748051
улица Дубравы;ул. общегородского значения;54.9931521;82.9917418
Сухарная улица;ул. районного значения;55.0465606;82.8731331
Геофизическая улица;жилая улица;55.0387525;82.9983998
улица Суркова;жилая улица;55.0384259;82.9974414
Национальная улица;жилая улица;55.0386152;82.9961336
улица Тимирязева;жилая улица;55.0501111;82.8767857
улица Достоевского;жилая улица;55.0456147;82.9140868
улица Некрасова;жилая улица;55.0464988;82.9345998
Бурлинский переезд;проезд;55.0449945;82.9010996
улица Горбаня;проезд;54.9589838;82.9121432
Ольховская улица;жилая улица;54.9681231;82.9096792
Бетонная улица;жилая улица;54.9614279;82.9211653
Часовая улица;ул. общегородского значения;54.8656525;82.9843861
Барьерная улица;ул. общегородского значения;54.8639605;82.9767219
улица Динамовцев;жилая улица;54.8615572;82.9841227
улица 40 лет Комсомола;жилая улица;54.8590356;82.9815947
улица Бердышева;ул. районного значения;54.8626363;82.9713483
Универсальная улица;жилая улица;54.8636116;82.9729257
улица Печатников;ул. общегородского значения;54.8648755;82.9763918
Пермская улица;ул. районного значения;54.9869245;82.85086
улица Военный городок;проезд;55.0302376;82.9615652
Тюменская улица;ул. районного значения;54.9633803;82.9425872
Томская улица;жилая улица;55.1669621;82.9735485
улица Аэропорт;улица;55.0814588;82.9063791
улица Королёва;жилая улица;55.0494126;82.9706248
Комбинатская улица;жилая улица;55.0520877;82.9750779
Авиационная улица;жилая улица;55.0592829;82.9936123
улица Александра Невского;жилая улица;55.0819834;82.9604236
Ясная улица;жилая улица;55.1255618;82.9719825
Солнечная улица;жилая улица;55.1271319;82.9750821
Совхозная улица;улица;55.1406674;82.961555
Юбилейная улица;жилая улица;55.1355399;82.9720407
Производственная улица;улица;55.1426124;82.9642207
Троицкая улица;жилая улица;55.1463748;82.9172828
улица Электромонтажников;жилая улица;55.1426819;82.9172618
улица Первопроходцев;жилая улица;55.1441417;82.9213553
Баргузинская улица;жилая улица;55.148026;82.9220073
Кубовая улица;улица;55.1311203;82.8891381
Петрозаводская улица;улица;55.126801;82.9061074
Чусовская улица;жилая улица;55.1311866;82.8969278
Кавалерийская улица;жилая улица;55.0569356;82.9176059
Пулемётная улица;жилая улица;55.0558255;82.9395887
Обогатительная улица;жилая улица;54.9666037;82.9521958
улица Саввы Кожевникова;жилая улица;54.970101;82.9565166
Оловозаводская улица;ул. районного значения;54.9589537;82.9461941
Ильменская улица;жилая улица;54.9679844;82.9137941
Чернореченская улица;жилая улица;54.9683253;82.9146924
Симферопольская улица;жилая улица;54.968176;82.9157986
Албазинская улица;жилая улица;54.9679319;82.9128171
Эстонская улица;жилая улица;54.9679747;82.9186576
Таймырская улица;жилая улица;54.9804157;82.9074152
Проектная улица;жилая улица;54.9724174;82.9101478
улица Эйхе;ул. общегородского значения;54.975764;83.0991513
улица Ключ-Камышенское Плато;ул. общегородского значения;54.9915449;83.0508164
улица Воскова;жилая улица;55.0027067;82.9863509
Инженерная улица;улица;54.8549838;83.1126366
Океанская улица;улица;54.8673573;83.0986143
улица Дружбы;жилая улица;54.99005;82.8760549
Декадная улица;жилая улица;54.9674986;82.9025573
Пригородная улица;жилая улица;54.9752204;82.9257485
улица Яковлева;жилая улица;54.9794962;82.9351276
Валдайская улица;жилая улица;54.9780293;82.9336794
Бугринский выселок;жилая улица;54.9736378;82.922055
Космическая улица;жилая улица;54.9864826;82.9019997
улица Олеко Дундича;жилая улица;55.0758071;82.9710014
улица Коминтерна;ул. районного значения;55.0485702;83.0225363
Бульварная улица;жилая улица;54.9759536;82.8638579
Телевизионная улица;жилая улица;54.9741879;82.889686
улица Успенского;жилая улица;54.9697673;82.8841102
